,Tile,TreeCover10,Shrubland20,Grassland30,Cropland40,Built_Up50,BareSparseVegetation60,SnowIce70,PermanentWaterBodies80,HerbaceousWetland90,Mangroves95,MossLichen100,ENS score,Average STD
22,31TCN,34.20275093514656,8.303556778724826e-05,15.957706331760972,46.23542842035129,2.551312991612079,0.03256256397890498,0.0,1.0013385333527305,0.018817188229675052,0.0,0.0,0.3407230227584217,0.0424
23,31TDH,49.64408230220526,11.816790748424545,19.231105304959065,10.213365943454347,2.9661742983751846,1.1823749471137073,1.6329802632067277e-05,4.359954128099879,0.47603749916495325,0.0,0.1100984984004216,0.3394313653818377,0.0466842105263157
24,31TDJ,47.74835047967108,3.1321757880310646,22.879684970306077,23.816038008222932,1.7730931018730014,0.06883142987665601,0.0,0.5425732297852901,0.03925299223389676,0.0,0.0,0.3107033368927663,0.0587142857142857
25,31TDK,43.54723654061287,0.07472221522789323,44.96197882756661,9.645604543835859,1.1911662823782476,0.03849382920328198,0.0,0.5366150724992176,0.004182688676021481,0.0,0.0,0.3414233849257373,0.05085
26,31TEJ,44.98762541073384,7.996265790434465,17.046756480467323,9.045637824023366,4.127860533041256,0.2867170500182548,0.0,15.426375319459657,1.0827615918218327,0.0,0.0,0.3107075029305411,0.0457894736842105
27,31TGN,51.07486847066274,5.6523411932991496e-05,29.870077726114523,13.4363568862537,3.1285869082785602,0.05951080271594995,0.0,2.4176714024293506,0.012871280133241098,0.0,0.0,0.3266146746265194,0.046
28,31UES,21.44881670327438,0.0013286695529626856,24.486847885428435,32.674581973769406,13.622659116590278,0.13131102167261277,0.0,7.346061602529106,0.2883930271828143,0.0,0.0,0.2685204451190679,0.0445
29,31UFP,44.862466964473654,2.923497906775499e-05,16.327396033917772,36.28638650461393,1.646308726576285,0.05380405547629628,0.0,0.776883837084506,0.046724642878489035,0.0,0.0,0.3392365155634488,0.0488609625668449
30,31UGS,42.35192151852312,0.0008819406242790978,21.861772517286866,22.502289733170077,11.462019768246588,0.3805990807942789,0.0,1.4149149113623054,0.02560052999248783,0.0,0.0,0.2718510773234162,0.0495454545454545
31,32TML,9.89189335736433,2.848126651494555,10.49442730369171,4.401424294725909,0.6947060530616609,0.09243252737853401,0.0,54.87380443249683,0.014074933940217806,0.0,0.0,0.3121609833203742,0.0488571428571428
32,32TNR,34.928907935929,0.002468292827743272,17.712706124009802,32.22446621047074,12.13885207419298,0.405456680117873,0.0221807070259404,2.472922643900694,0.006924225813451631,0.0,0.08511510571177945,0.3104563511078405,0.02796
33,32TPP,64.25928407588214,2.7760789026798407,12.552337903137175,10.119550180984085,4.511667003463692,0.14191846675813366,0.0,5.492407886013706,0.1467555810812248,0.0,0.0,0.3303064567272988,0.0545499999999999
34,32TPR,38.63590556623776,0.00010423152564781264,22.60706977752055,27.233854399530408,7.300742923913729,0.34395786303428943,0.04567672318026842,3.7346923661379203,0.027691299136249806,0.0,0.070304849783171,0.3189905458271042,0.0419285714285714
35,32TPS,52.1067500393924,0.007513511256799397,27.789846591850285,0.4879890213042184,1.6920127025341771,6.641878633696462,5.34176914302337,0.5555971551279478,0.0002504952668515304,0.0,5.376392706547488,0.3276872505812101,0.0441428571428571
36,32TPT,47.330888258143794,0.006949230758026275,35.80700127053866,0.9389406528013093,2.1425598672654553,5.857405042297219,3.2481311031705205,1.207460624225776,0.009788907846552827,0.0,3.4508750429526813,0.3369420097633433,0.049
37,32TQM,21.338920164679525,1.6441473838930867,9.487146006806944,12.283890232677612,4.6354517627416145,0.12569442957952495,0.0,31.6170865709128,0.044584055768421206,0.0,0.0,0.3433256689202145,0.0465925925925925
38,32TQP,59.37486268620648,1.7977870988900972,15.472364282878498,13.902786322130737,3.012739543955949,0.1645535359812197,0.0,6.271257487097164,0.00364904285985535,0.0,0.0,0.34087633201209,0.0475555555555555
39,32UMC,36.42606054260493,1.4957408778503212e-05,18.836794727014826,36.37250367079741,7.732190088722363,0.0724636597289219,0.0,0.5514086139717156,0.00856373975105886,0.0,0.0,0.2971301097123457,0.0471666666666666
40,32UNC,40.43111395016832,2.61492111343341e-05,14.552070861871773,39.298736059201815,5.081520788311551,0.06053604637624855,0.0,0.5672274427254451,0.008768702133713368,0.0,0.0,0.321880685341563,0.0483285714285714
41,32UNG,15.513838254874111,6.893632391640359e-05,16.47616142038453,34.13527414722634,3.0832967287150552,0.03635280129304034,0.0,30.5331791666453,0.2218285445377079,0.0,0.0,0.2867561223671973,0.04375
42,32UNU,40.562160023271424,1.3436155754604738e-06,26.471036014943692,25.62139197230002,6.4819602813799735,0.13620634173115462,0.0,0.6939425107203727,0.03330151203778785,0.0,0.0,0.3014331569604347,0.0484090909090909
43,32UPC,27.641206589812693,2.2778060172441903e-05,14.322217839776727,51.835692261214,5.0780088618642525,0.14918010971831933,0.0,0.9413039360487978,0.032367623505039946,0.0,0.0,0.3045883451592631,0.047875
44,32UQC,37.029621337036076,1.2149613815846568e-05,18.476717290057564,38.456356851514364,4.47566374497382,0.08069947062396945,0.0,1.3762336197170875,0.10469553646330527,0.0,0.0,0.3418482394579859,0.0576999999999999
45,32VMM,30.08684327807897,0.13410291053702733,43.140780918482626,0.12470812638517358,0.1147338706188777,0.5702116379227955,0.7706660603676627,8.129586351833836,0.3491351687962584,0.0,16.579231676976768,0.349362907776548,0.07075
46,32VPP,54.93686918564459,0.1443077898222183,30.082010130737146,0.173559799539969,0.10613661950840247,0.40331403669115257,0.004659115598498166,4.048644865770426,0.8174671720663148,0.0,9.283031284621282,0.3362264798700338,0.06225
47,33SXD,37.86290248558946,1.7705082547025492,11.536005709145648,5.973343552275703,1.5499412563791901,0.2738531225905937,0.0,38.53825984261605,0.013722142673569042,0.0,0.0,0.2994750096432886,0.0393125
48,33TUN,52.91830030842731,0.005010698302553709,34.11427886266515,0.9357377776626351,1.574951557049753,4.413740327186709,2.4505675979271664,1.055485694964524,0.0012946905729387748,0.0,2.530632485241258,0.3240346240508556,0.059
49,33TVF,45.145116158299096,2.4525866414137556,9.65383299476104,16.13097478272823,7.539297551587726,0.22659039880252324,0.0,18.804414931801865,0.04718654060576438,0.0,0.0,0.2942540045210152,0.0435416666666666
50,33TWE,51.03646481148013,2.9140135271440153,13.926783404805663,4.933236799277232,1.6861111626784488,0.2470119306192412,2.320530194738894e-06,21.94140738609291,0.0020737804840316584,0.0,0.0,0.3018193615599948,0.0507499999999999
51,33TXJ,43.825754691228035,8.421854936203554,32.42499033924324,4.428402270366471,1.3867798304670134,0.21020105009767115,0.0,9.160205481637473,0.14181140075655246,0.0,0.0,0.3256317939765205,0.0441818181818181
52,33TXN,36.01987442920107,0.0004336648386535071,15.912525498499388,42.64633010302685,2.703557309636033,0.11073548894551911,0.0,1.4551521038041344,1.1513914020483547,0.0,0.0,0.3200707948294006,0.033625
53,33TYM,29.624763514662746,0.004651859566306171,11.96236121614302,52.99182081280305,2.1971155984812603,0.02593226902938306,0.0,2.8691205754672793,0.324234153846959,0.0,0.0,0.3251154138693272,0.0297333333333333
54,33TYN,30.33384461328673,0.0009255708704027357,16.008455388575975,43.069187867763475,5.117806994386839,0.13508003522436263,0.0,4.829807364358263,0.5048921655339503,0.0,0.0,0.2962200356558729,0.042
